argumento n;i;i < n;a;if a % 2 !== 0 && a % 5 === 0;else if a % 5 === 0;else if a % 2 !== 0;else;z.push;i++;return
5;?;?;?;?;?;?;?;?;?;?
5;0;true;?;?;?;?;?;?;?;?
5;0;true;a = a + 1 === 1;?;?;?;?;?;?;?
5;0;true;a = a + 1 === 1;false;?;?;?;?;?;?
5;0;true;a = a + 1 === 1;false;false;?;?;?;?;?
5;0;true;a = a + 1 === 1;false;false;true;?;?;?;?
5;0;true;a = a + 1 === 1;false;false;true;false;?;?;?
5;0;true;a = a + 1 === 1;false;false;true;false;"z.push(""Snap"")";?;?
5;0;true;a = a + 1 === 1;false;false;true;false;"z.push(""Snap"")";i = i + 1;?
5;1;?;?;?;?;?;?;?;?;?
5;1;true;?;?;?;?;?;?;?;?
5;1;true;a = a + 1 === 2;?;?;?;?;?;?;?
5;1;true;a = a + 1 === 2;false;?;?;?;?;?;?
5;1;true;a = a + 1 === 2;false;false;?;?;?;?;?
5;1;true;a = a + 1 === 2;false;false;false;?;?;?;?
5;1;true;a = a + 1 === 2;false;false;"false ";true;?;?;?
5;1;true;a = a + 1 === 2;false;false;false;true;z.push(a);?;?
5;1;true;"a = a + 1 === 2 ";false;false;false;true;z.push(a);i = i + 1;?
5;2;?;?;?;?;?;?;?;?;?
5;2;true;?;?;?;?;?;?;?;?
5;2;true;a = a + 1 === 3;?;?;?;?;?;?;?
5;2;true;a = a + 1 === 3;false;?;?;?;?;?;?
5;2;true;"a = a + 1 === 3 ";false;false;?;?;?;?;?
5;2;true;a = a + 1 === 3;false;false;true;?;?;?;?
5;2;true;a = a + 1 === 3;false;false;true;false;?;?;?
5;2;true;a = a + 1 === 3;false;false;true;false;"z.push(""Snap"")";?;?
5;2;true;a = a + 1 === 3;false;false;true;false;"z.push(""Snap"")";i = i + 1;?
5;3;?;?;?;?;?;?;?;?;?
5;3;true;?;?;?;?;?;?;?;?
5;3;true;a = a + 1 === 4;?;?;?;?;?;?;?
5;3;true;a = a + 1 === 4;false;?;?;?;?;?;?
5;3;true;a = a + 1 === 4;false;false;?;?;?;?;?
5;3;true;a = a + 1 === 4;false;false;false;?;?;?;?
5;3;true;a = a + 1 === 4;false;false;false;true;?;?;?
5;3;true;a = a + 1 === 4;false;false;false;true;z.push(a);?;?
5;3;true;a = a + 1 === 4;false;false;false;true;z.push(a);i = i + 1;?
5;4;?;?;?;?;?;?;?;?;?
5;4;true;a = a + 1 === 5;?;?;?;?;?;?;?
5;4;true;a = a + 1 === 5;true;?;?;?;?;?;?
5;4;true;a = a + 1 === 5;true;false;?;?;?;?;?
5;4;true;a = a + 1 === 5;true;false;false;?;?;?;?
5;4;true;a = a + 1 === 5;true;false;false;false;?;?;?
5;4;true;"a = a + 1 === 5 ";true;false;false;false;"z.push(""SnapCrackle"")";?;?
5;4;true;a = a + 1 === 5;true;false;false;false;"z.push(""SnapCrackle"")";i = i + 1;?
5;5;?;?;?;?;?;?;?;?;?
5;5;false;?;?;?;?;?;?;?;?
5;5;false;-;?;?;?;?;?;?;?
5;5;false;-;-;?;?;?;?;?;?
5;5;false;-;-;-;?;?;?;?;?
5;5;false;-;-;-;-;?;?;?;?
5;5;false;-;-;-;-;-;?;?;?
5;5;false;-;-;-;-;-;-;?;?
5;5;false;-;-;-;-;-;-;-;?
5;5;false;-;-;-;-;-;-;-;